,City,Cloudiness,Country,Date,Humidity,Latitute,Longitute,Max Temp,Wind
735,Iralaya,44,TL,1551817752,92,-8.93,125.41,70.05,0.58
736,Bela,8,NZ,1551817397,70,-46.28,169.85,70.0,1.99
739,Attawapiskat,0,AU,1551817783,89,-33.21,138.6,50.29,10.98
740,Nantucket,92,RU,1551817789,93,69.38,178.42,10.33,13.89
743,Bambous Virieux,20,EC,1551812400,66,-0.74,-90.35,84.2,10.29
748,Port Lincoln,12,PY,1551818041,49,-19.93,-60.77,95.43,13.78
750,Tamandare,90,RU,1551819034,79,59.7,30.79,19.4,15.66
753,Tumannyy,0,ZA,1551818785,77,-34.53,20.04,69.8,6.93
754,Dikson,90,US,1551819076,88,19.71,-155.08,68.0,5.82
757,Machico,75,AR,1551816000,70,-54.81,-68.31,51.8,24.16
758,Chanal,0,ZA,1551818785,81,-34.42,19.24,68.0,4.0
761,Mahebourg,0,PF,1551818867,100,-9.8,-139.03,82.51,19.04
764,Meyungs,8,NZ,1551819174,65,-46.28,169.85,71.01,3.0
765,Ahumada,0,ZA,1551818785,77,-34.53,20.04,69.8,6.93
772,Riyadh,75,AU,1551819074,66,-42.78,147.06,52.0,4.7
776,Port Keats,0,NZ,1551818407,94,-46.19,168.86,64.0,1.01
778,Nanortalik,36,AU,1551819170,100,-34.72,135.86,59.43,13.67
783,Tezu,92,ZA,1551819237,91,-30.74,30.45,74.1,9.19
784,Lavrentiya,1,US,1551819005,27,35.61,-88.82,37.99,9.17
785,Peleduy,90,US,1551818100,95,41.79,-107.24,36.0,5.82
786,Mys Shmidta,48,PY,1551819200,75,-26.98,-56.83,80.67,5.17
787,Portland,80,RU,1551819250,67,67.46,153.71,-9.29,2.93
802,Choix,68,BR,1551819341,81,-30.17,-50.22,79.18,3.94
804,Shahdadkot,75,MZ,1551816000,94,-13.3,35.25,68.0,11.41
805,Acari,90,CA,1551816000,60,49.72,-86.95,5.0,6.93
813,Coahuayana,1,US,1551819216,53,41.28,-70.1,28.99,14.99
814,Aflu,20,TT,1551819008,54,10.24,-61.45,84.99,13.87
819,Watertown,5,CA,1551816000,48,54.14,-115.68,17.6,10.29
821,Gilbues,12,BO,1551819352,10,-20.46,-66.82,69.1,6.73
822,Bell Ville,12,CA,1551819172,76,60.75,-137.51,2.55,2.37
823,Ostrovnoy,20,EC,1551816000,70,-0.74,-90.35,84.2,10.29
825,Marienburg,56,RU,1551819354,80,57.13,73.82,13.66,5.73
827,Amapa,44,RU,1551819206,53,71.97,114.09,-10.69,6.85
837,Tarauaca,0,NO,1551819365,67,63.83,10.7,21.99,11.41
839,Palabuhanratu,88,ZA,1551818837,100,-33.02,27.91,74.32,17.25
842,Lolua,75,AU,1551818840,66,-42.88,147.33,52.0,4.7
847,Porto Novo,1,US,1551819317,29,30.04,-94.42,50.0,9.17
850,Salinas,0,FR,1551819452,66,43.12,6.14,54.0,6.73
855,Itarana,5,CA,1551816000,66,65.28,-126.83,15.8,11.41
860,Barstow,68,PF,1551818955,100,-23.12,-134.97,79.68,15.23
862,Rosetta,20,BO,1551819482,65,-15.63,-63.08,87.82,3.49
863,Jumla,20,BB,1551816000,58,13.22,-59.52,82.4,20.8
870,Port-Cartier,75,VC,1551816000,61,12.88,-61.18,82.4,11.41
871,San Juan,88,GF,1551819551,69,5.48,-53.21,80.35,6.4
873,Lompoc,40,CL,1551818587,37,-53.16,-70.91,51.8,31.09
876,Kindu,8,ZA,1551818814,90,-33.59,26.89,70.0,5.99
882,Pangody,0,CA,1551819318,49,50.24,-117.8,32.0,5.01
883,Isangel,100,IN,1551819584,100,27.29,95.67,55.06,1.59
885,Varhaug,68,PF,1551819585,100,-23.12,-134.97,79.68,15.23
886,San Policarpo,40,BR,1551816000,54,-20.25,-43.81,82.4,9.17
887,Roebourne,75,US,1551819312,47,21.44,-157.84,78.8,16.11
890,Concepcion Del Oro,20,JP,1551819589,88,43.32,145.57,32.56,17.02
891,Haines Junction,90,US,1551819076,88,19.71,-155.08,68.0,5.82
892,Bafoulabe,1,US,1551818798,69,43.41,-124.22,42.8,4.5
899,Menongue,92,RU,1551819636,97,65.58,-170.99,28.47,14.45
901,Hondo,0,ML,1551819573,20,18.9,-3.53,62.98,7.4
902,Candido Mendes,0,ZA,1551819722,81,-34.42,19.24,68.0,7.0
908,Naftah,90,MX,1551819542,27,28.39,-105.62,75.99,12.75
909,Tidore,5,MX,1551819016,7,23.99,-104.67,82.99,4.7
913,Alotau,75,JP,1551819820,76,35.74,139.53,51.01,2.24
915,Severnoye,8,RU,1551819835,100,59.36,143.24,2.1,4.72
916,Albion,75,AR,1551816000,70,-54.81,-68.31,51.8,24.16
917,Tomigusuku,56,VE,1551819838,86,10.67,-63.26,77.52,17.58
918,Pumiao,90,CN,1551819837,93,32.34,118.83,48.99,2.24
920,Komsomolsk-Na-Amure,88,AU,1551819842,75,-23.58,149.07,75.58,8.63
926,Bata,48,GF,1551819875,74,3.17,-52.33,81.16,3.15
930,Preobrazheniye,40,AU,1551819854,71,-42.78,147.06,54.0,4.72
932,Broken Hill,75,AR,1551816000,70,-54.81,-68.31,51.8,24.16
933,Guatire,90,CL,1551816000,82,-42.48,-73.76,59.0,17.22
936,North Myrtle Beach,0,CY,1551819719,81,34.92,32.53,53.6,10.29
940,Kattivakkam,40,NO,1551819000,76,78.22,15.63,-7.61,9.17
945,College,48,RU,1551819894,79,65.95,111.51,18.03,8.41
955,Sault Sainte Marie,0,CL,1551816000,52,-36.72,-73.12,69.8,17.22
958,Omsukchan,0,PF,1551820002,100,-9.8,-139.03,82.51,19.04
961,Nelson Bay,90,CA,1551816000,60,55.1,-105.3,8.6,12.75
963,Senanga,75,US,1551819799,47,22.08,-159.32,77.0,20.8
967,Kjollefjord,75,US,1551819799,47,22.08,-159.32,77.0,20.8
970,Khorramshahr,92,MZ,1551820017,97,-14.8,36.54,68.38,8.19
980,Berbera,20,MU,1551819845,78,-20.34,57.76,80.6,6.93
981,Mporokoso,90,CL,1551816000,82,-42.48,-73.76,59.0,17.22
982,Mayumba,24,CI,1551820027,94,4.42,-7.36,84.58,12.44
985,Dajal,0,FR,1551819969,62,45.6,-0.6,55.0,11.41
987,Kyren,75,AU,1551819864,82,-36.55,145.99,63.0,10.29
988,Sitka,90,CA,1551816000,60,49.72,-86.95,5.0,6.93
989,Pauini,0,FR,1551820025,93,48.95,4.24,48.2,11.41
991,Onega,80,IN,1551820040,95,25.52,90.21,59.29,3.04
993,Nakamura,1,US,1551819766,52,44.53,-109.06,26.6,3.36
997,Henties Bay,20,US,1551819959,38,42.65,-73.75,30.0,6.93
999,Pokhara,0,PH,1551820099,93,16.72,121.81,64.33,2.37
1002,Limoncito,80,ID,1551822635,100,-8.63,122.22,78.82,2.71
1003,Zhigansk,20,JM,1551822312,69,18.44,-78.17,82.4,12.75
1012,Lao Cai,75,CA,1551819600,50,55.1,-105.3,8.6,18.34
1015,Yanam,56,AO,1551822638,89,-9.66,20.4,69.28,3.94
1016,Carutapera,75,IS,1551821956,100,63.84,-22.43,30.2,1.12
1018,Benghazi,0,SI,1551822611,81,45.65,14.09,48.2,5.82
1019,Waitati,92,SY,1551822640,94,35.59,37.0,49.21,3.71
1020,Formoso Do Araguaia,40,US,1551822376,32,42.65,-73.75,30.0,9.17
1023,La Libertad,0,IN,1551822641,67,27.55,79.69,55.47,6.51
1029,Sioux Lookout,100,IN,1551822643,98,26.52,89.2,61.36,5.39
1034,Uyuni,90,CA,1551822357,67,45.36,-73.48,19.4,4.7
1043,Domingos Martins,75,AR,1551819600,75,-54.81,-68.31,46.4,28.86
1046,Zaraza,0,ZA,1551822384,81,-34.42,19.24,69.01,8.99
1047,Parit Buntar,75,AR,1551819600,75,-54.81,-68.31,46.4,28.86
1050,Sibolga,32,US,1551822570,41,42.04,-87.69,21.99,8.05
1053,Mitu,75,US,1551822509,47,22.08,-159.32,77.0,20.8
1058,Raduzhnyy,90,US,1551822427,93,34.64,-120.46,57.0,10.29
1060,Yegorlykskaya,8,AR,1551822640,21,-38.31,-60.23,80.71,12.44
1066,La Ronge,0,NZ,1551822607,94,-46.19,168.86,64.0,1.01
1067,Bibiani,75,US,1551822509,47,22.08,-159.32,77.0,20.8
1071,Jalu,75,PT,1551819600,62,38.52,-28.7,55.4,6.93
1073,Andros Town,88,AU,1551822721,75,-23.58,149.07,75.58,8.63
1074,Leningradskiy,0,CA,1551822721,40,54.23,-125.76,22.03,3.04
1078,Nhulunbuy,75,NI,1551822627,54,12.92,-85.84,78.8,4.61
1080,Veere,76,BR,1551822726,76,-20.63,-46.0,76.48,3.38
1087,Siva,0,ZA,1551822616,88,-33.93,18.42,70.0,8.05
1090,Petropavlovsk-Kamchatskiy,0,RU,1551819600,63,56.17,91.82,26.6,4.47
1092,Aswan,20,GY,1551819600,74,6.8,-58.16,84.2,6.93
1095,Moose Factory,0,ZM,1551822734,77,-13.47,25.0,68.2,2.15
1098,Camopi,0,CN,1551822735,59,47.61,126.08,14.97,9.31
1106,Lerwick,64,RU,1551822606,38,51.52,104.15,14.0,7.0
1107,Shetpe,0,ZA,1551822616,88,-33.93,18.42,70.0,8.05
1112,Cap Malheureux,20,CA,1551822817,68,47.58,-53.28,28.0,32.21
1116,Kavieng,75,IE,1551822472,100,51.62,-8.87,50.0,17.22
1118,Lisakovsk,90,CL,1551819600,93,-41.87,-73.83,57.2,16.11
1121,Kahului,75,AR,1551819600,75,-54.81,-68.31,46.4,28.86
1124,We,75,PT,1551819600,62,38.52,-28.7,55.4,6.93
1129,Genc,0,NZ,1551822607,94,-46.19,168.86,64.0,1.01
1130,Seminole,88,AU,1551822880,75,-23.58,149.07,75.58,8.63
